StatementCode,Parent Node,Is Parent Standard,Grade,Subject,Sub-Subject,Statement
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,K,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,1,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,2,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,3,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,4,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,5,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,6,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,7,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,8,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,9,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,10,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,11,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.1,,FALSE,12,English,English Language Arts and Literacy,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,K,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,1,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,2,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,3,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,4,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,5,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,6,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,7,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,8,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,9,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,10,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,11,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.2,,FALSE,12,English,English Language Arts and Literacy,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,K,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,1,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,2,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,3,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,4,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,5,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,6,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,7,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,8,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,9,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,10,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,11,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.3,,FALSE,12,English,English Language Arts and Literacy,"Analyze how and why individuals, events, or ideas develop and interact over the course of a text."
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,K,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,1,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,2,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,3,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,4,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,5,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,6,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,7,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,8,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
CCSS.ELA-Literacy.CCRA.R.4,,FALSE,9,English,English Language Arts and Literacy,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone."
