StatementCode,Parent Standard,Is Parent Standard,Grade,Subject,Sub-Subject,Standard Type,Statement,Column2,Column3,Column4,Column5,Column6,Column7,Column8
CCSS.Math.Content.K.CC.A.1,,FALSE,K,Mathematics,Mathematics,Common Core,Count to 100 by ones and by tens.,,,,,,,
CCSS.Math.Content.K.CC.A.2,,FALSE,K,Mathematics,Mathematics,Common Core,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).,,,,,,,
CCSS.Math.Content.K.CC.A.3,,FALSE,K,Mathematics,Mathematics,Common Core,Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).,,,,,,,
CCSS.Math.Content.K.CC.B.4,,TRUE,K,Mathematics,Mathematics,Common Core,Understand the relationship between numbers and quantities; connect counting to cardinality.,,,,,,,
CCSS.Math.Content.K.CC.B.4a,CCSS.Math.Content.K.CC.B.4,FALSE,K,Mathematics,Mathematics,Common Core,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.",,,,,,,
CCSS.Math.Content.K.CC.B.4b,CCSS.Math.Content.K.CC.B.4,FALSE,K,Mathematics,Mathematics,Common Core,Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.,,,,,,,
CCSS.Math.Content.K.CC.B.4c,CCSS.Math.Content.K.CC.B.4,FALSE,K,Mathematics,Mathematics,Common Core,Understand that each successive number name refers to a quantity that is one larger.,,,,,,,
CCSS.Math.Content.K.CC.B.5,,FALSE,K,Mathematics,Mathematics,Common Core,"Count to answer &ldquo;how many?&rdquo; questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1&ndash;20, count out that many objects.",,,,,,,
CCSS.Math.Content.K.CC.C.6,,FALSE,K,Mathematics,Mathematics,Common Core,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.1",,,,,,,
CCSS.Math.Content.K.CC.C.7,,FALSE,K,Mathematics,Mathematics,Common Core,Compare two numbers between 1 and 10 presented as written numerals.,,,,,,,
CCSS.Math.Content.K.OA.A.1,,FALSE,K,Mathematics,Mathematics,Common Core,"Represent addition and subtraction with objects, fingers, mental images, drawings1, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations.",,,,,,,
CCSS.Math.Content.K.OA.A.2,,FALSE,K,Mathematics,Mathematics,Common Core,"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.",,,,,,,
CCSS.Math.Content.K.OA.A.3,,FALSE,K,Mathematics,Mathematics,Common Core,"Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).",,,,,,,
CCSS.Math.Content.K.OA.A.4,,FALSE,K,Mathematics,Mathematics,Common Core,"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.",,,,,,,
CCSS.Math.Content.K.OA.A.5,,FALSE,K,Mathematics,Mathematics,Common Core,Fluently add and subtract within 5.,,,,,,,
CCSS.Math.Content.K.NBT.A.1,,FALSE,K,Mathematics,Mathematics,Common Core,"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (such as 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones.",,,,,,,
CCSS.Math.Content.K.MD.A.1,,FALSE,K,Mathematics,Mathematics,Common Core,"Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object.",,,,,,,
CCSS.Math.Content.K.MD.A.2,,FALSE,K,Mathematics,Mathematics,Common Core,"Directly compare two objects with a measurable attribute in common, to see which object has &ldquo;more of&rdquo;/&ldquo;less of&rdquo; the attribute, and describe the difference. For example, directly compare the heights of two children and describe one child as taller/shorter.",,,,,,,
CCSS.Math.Content.K.MD.B.3,,FALSE,K,Mathematics,Mathematics,Common Core,Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.1,,,,,,,
CCSS.Math.Content.K.G.A.1,,FALSE,K,Mathematics,Mathematics,Common Core,"Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to.",,,,,,,
CCSS.Math.Content.K.G.A.2,,FALSE,K,Mathematics,Mathematics,Common Core,Correctly name shapes regardless of their orientations or overall size.,,,,,,,
CCSS.Math.Content.K.G.A.3,,FALSE,K,Mathematics,Mathematics,Common Core,"Identify shapes as two-dimensional (lying in a plane, &ldquo;flat&rdquo;) or three-dimensional (&ldquo;solid&rdquo;).",,,,,,,
CCSS.Math.Content.K.G.B.4,,FALSE,K,Mathematics,Mathematics,Common Core,"Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/&ldquo;corners&rdquo;) and other attributes (e.g., having sides of equal length).",,,,,,,
CCSS.Math.Content.K.G.B.5,,FALSE,K,Mathematics,Mathematics,Common Core,"Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes.",,,,,,,
CCSS.Math.Content.K.G.B.6,,FALSE,K,Mathematics,Mathematics,Common Core,"Compose simple shapes to form larger shapes. For example, &ldquo;Can you join these two triangles with full sides touching to make a rectangle?&rdquo;",,,,,,,
CCSS.Math.Content.1.OA.A.1,,FALSE,1,Mathematics,Mathematics,Common Core,"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.1",,,,,,,
CCSS.Math.Content.1.OA.A.2,,FALSE,1,Mathematics,Mathematics,Common Core,"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",,,,,,,
CCSS.Math.Content.1.OA.B.3,,FALSE,1,Mathematics,Mathematics,Common Core,"Apply properties of operations as strategies to add and subtract.2 Examples: If 8 + 3 = 11 is known, then 3 + 8 = 11 is also known. (Commutative property of addition.) To add 2 + 6 + 4, the second two numbers can be added to make a ten, so 2 + 6 + 4 = 2 + 10 = 12. (Associative property of addition.) ",,,,,,,
CCSS.Math.Content.1.OA.B.4,,FALSE,1,Mathematics,Mathematics,Common Core,"Understand subtraction as an unknown-addend problem. For example, subtract 10 &ndash; 8 by finding the number that makes 10 when added to 8.",,,,,,,
CCSS.Math.Content.1.OA.C.5,,FALSE,1,Mathematics,Mathematics,Common Core,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).",,,,,,,
CCSS.Math.Content.1.OA.C.6,,FALSE,1,Mathematics,Mathematics,Common Core,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 &ndash; 4 = 13 &ndash; 3 &ndash; 1 = 10 &ndash; 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 &ndash; 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).",,,,,,,
CCSS.Math.Content.1.OA.D.7,,FALSE,1,Mathematics,Mathematics,Common Core,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 &ndash; 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2.",,,,,,,
CCSS.Math.Content.1.OA.D.8,,FALSE,1,Mathematics,Mathematics,Common Core,"Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 + ? = 11, 5 = _ &ndash; 3, 6 + 6 = _.",,,,,,,
CCSS.Math.Content.1.NBT.A.1,,FALSE,1,Mathematics,Mathematics,Common Core,"Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.",,,,,,,
CCSS.Math.Content.1.NBT.B.2,,TRUE,1,Mathematics,Mathematics,Common Core,Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:,,,,,,,
